date,dollar_yen_nakane
2024/08/01,149.62
2024/08/02,149.52
2024/08/03,149.52
2024/08/04,149.52
2024/08/05,145.47
2024/08/06,144.98
2024/08/07,147.04
2024/08/08,146.2
2024/08/09,147.66
2024/08/10,147.66
2024/08/11,147.66
2024/08/12,147.66
2024/08/13,147.34
2024/08/14,147.12
2024/08/15,147.39
2024/08/16,149.13
2024/08/17,149.13
2024/08/18,149.13
2024/08/19,147.93
2024/08/20,146.45
2024/08/21,145.6
2024/08/22,145.41
2024/08/23,146.27
2024/08/24,146.27
2024/08/25,146.27
2024/08/26,143.56
2024/08/27,144.86
2024/08/28,144.27
2024/08/29,144.53
2024/08/30,144.8
2024/08/31,144.8
2024/09/01,144.8
2024/09/02,146.24
2024/09/03,147.16
2024/09/04,145.4
2024/09/05,143.79
2024/09/06,143.24
2024/09/07,143.24
2024/09/08,143.24
2024/09/09,142.78
2024/09/10,143.53
2024/09/11,142.12
2024/09/12,142.85
2024/09/13,141.54
2024/09/14,141.54
2024/09/15,141.54
2024/09/16,141.54
2024/09/17,140.77
2024/09/18,141.62
2024/09/19,143.64
2024/09/20,142.76
2024/09/21,142.76
2024/09/22,142.76
2024/09/23,142.76
2024/09/24,143.74
2024/09/25,143.33
2024/09/26,144.61
2024/09/27,145.53
2024/09/28,145.53
2024/09/29,145.53
2024/09/30,142.73
2024/10/01,144.1
2024/10/02,143.93
2024/10/03,147.12
2024/10/04,146.72
2024/10/05,146.72
2024/10/06,146.72
2024/10/07,148.47
2024/10/08,147.9
2024/10/09,148.25
2024/10/10,149.41
2024/10/11,148.62
2024/10/12,148.62
2024/10/13,148.62
2024/10/14,148.62
2024/10/15,149.67
2024/10/16,149.29
2024/10/17,149.64
2024/10/18,150.13
2024/10/19,150.13
2024/10/20,150.13
2024/10/21,149.43
2024/10/22,150.74
2024/10/23,151.37
2024/10/24,152.79
2024/10/25,152.16
2024/10/26,152.16
2024/10/27,152.16
2024/10/28,153.45
2024/10/29,152.93
2024/10/30,153.31
2024/10/31,153.64
2024/11/01,152.05
2024/11/02,152.05
2024/11/03,152.05
2024/11/04,152.05
2024/11/05,152.43
2024/11/06,152.85
2024/11/07,154.63
2024/11/08,153.13
2024/11/09,153.13
2024/11/10,153.13
2024/11/11,153.14
2024/11/12,153.83
2024/11/13,154.97
2024/11/14,155.77
2024/11/15,156.84
2024/11/16,156.84
2024/11/17,156.84
2024/11/18,154.35
2024/11/19,154.48
2024/11/20,154.91
2024/11/21,155.13
2024/11/22,154.52
2024/11/23,154.52
2024/11/24,154.52
2024/11/25,154.25
2024/11/26,154.24
2024/11/27,152.88
2024/11/28,151.77
2024/11/29,150.74
2024/11/30,150.74
2024/12/01,150.74
2024/12/02,150.22
2024/12/03,149.96
2024/12/04,149.82
2024/12/05,150.38
2024/12/06,150.06
2024/12/07,150.06
2024/12/08,150.06
2024/12/09,149.85
2024/12/10,151.54
2024/12/11,151.86
2024/12/12,152.4
2024/12/13,153.02
2024/12/14,153.02
2024/12/15,153.02
2024/12/16,153.92
2024/12/17,154.27
2024/12/18,153.74
2024/12/19,154.94